기종,SK_요금제,SK_이동,SK_요금제,SK_기변,KT_요금제,KT_이동,KT_요금제,KT_기변,LG_요금제,LG_이동,LG_요금제,LG_기변,요금할인,TODAY
아이폰17 256,109,15,109,37,110,25,110,52,85,19,115,47,X,
아이폰 AIR 256,109,45,109,67,110,55,110,82,85,49,115,77,X,
아이폰17 PRO256,109,65,109,87,110,80,110,102,85,69,115,97,X,
아이폰17 PROMAX256,109,107,109,129,110,119,110,146,85,124,115,142,X,
플립7 256,109,18,109,37,110,39,110,37,85,17,115,20,X,
폴드7 256,109,117,109,136,110,145,110,139,85,113,115,121,X,
S25 256,109,-1,109,14,110,22,110,6,85,1,115,7,X,
S25울트라 256,109,49,109,68,110,77,110,81,85,55,115,66,X,
S25엣지 256,109,19,109,38,110,30,110,32,85,-4,115,31,X,
S25FE 256,109,-10,109,2,69,4,110,9,85,-5,115,14,X,
퀀텀6 128,39,18,39,23,,,,,,,,,O,
A36 128,39,0,39,34,55,11,55,16,,,,,O,
점프4 128,,,,,55,-29,55,-18,,,,,X,1
아이폰16e 128,109,26,109,45,,,,,,,,,O,
